SEMÁFORO COMPARTILHADO,SEMÁFORO,IP DDNS,Nº CHIP,ELSYS,LOCALIZAÇÃO 1,LOCALIZAÇÃO 2,ENDEREÇO,BAIRRO,TIPO DE CONTROLADOR,EMPRESA,ROTA,OBSERVAÇOES,SUB-ÁREA (TRAFGO),LATITUDE ,LONGITUDE,GEOREFERÊNCIA,NOBREAK,Nº do No Break,CÂMERAS,BOTOEIRA COM DISPOSITIVO SONORO,HORÁRIO DE FUNCIONAMENTO Do dispositivo sonoro,BOTOEIRA SIMPLES,Coluna Cônica,Coluna Simples,Semipórtico Cônico,Semipórtico Simples,Semipórtico Estruturado,Pórtico Estruturado,Veicular TIPO I,VeiculaR Tipo T,PEDESTRE SIMPLES,Pedestre com cronômetro,Ciclista ,Anteparo TIpo I,Veicular com sequencial,Veicular com cronômetro,Luminárias,Conta-Contrato,NÚMERO DO Medidor ,Data de implantação
424,424,s04962.dyndns.org,,,AV. NORTE MIGUEL ARRAES DE ALENCAR,RUA BUJARU,AV. NORTE MIGUEL ARRAES DE ALENCAR X RUA BUJARU,ALTO DO MANDÚ,GIT-SM 6 FASES,SINALVIDA,9,,,-8.018246,-34.928354,"-8.018246,-34.928354",NÃO,,,,,2,,1,,1,,,2,,,2,,1,,,,4.005.751.131,3.213.525.645,10/07/1998
425,425,s05045.dyndns.org,,,RUA SÃO MIGUEL,EM FRENTE AO N° 1808,RUA SÃO MIGUEL X EM FRENTE AO N° 1808,JIQUIÁ,GIT-SM 6 FASES,SINALVIDA,7,,,-8.081843,-34.922850,"-8.081843,-34.922850",NÃO,,,,,2,,,,2,,,3,,1,1,,,,,,4.008.924.428,3.130.238.881,09/02/2001
426,426,s05187.dyndns.org,,,RUA COSME VIANA,RUA DOUTOR ADÉLINO,RUA COSME VIANA X RUA DOUTOR ADÉLINO,AFOGADOS,GIT-SM 6 FASES,SINALVIDA,8,,,-8.075838,-34.909021,"-8.075838,-34.909021",NÃO,,,,,,,1,,1,,,2,1,,,2,2,,,,7.010.553.215,3.154.899.730,21/09/1995
427,427,s05658.dyndns.org,,,RUA 13 DE MAIO,RUA PEDRO AFONSO,RUA 13 DE MAIO X RUA PEDRO AFONSO,SANTO AMARO,GIT-SM 6 FASES,SINALVIDA,10,,,-8.049454,-34.881627,"-8.049454,-34.881627",NÃO,,,,,,,,4,,,,7,,,,,4,,,,7.023.248.330,3.193.327.663,23/03/1982
428,428,s05305.dyndns.org,,,RUA 13 DE MAIO,AV. DA SAUDADE,RUA 13 DE MAIO X AV. DA SAUDADE,SANTO AMARO,GIT-SM 6 FASES,SINALVIDA,10,,,-8.051091,-34.882771,"-8.051091,-34.882771",NÃO,,,,,,,,4,,,,8,,,,,4,,,,4.005.637.517,61.256.512,16/02/2004
429,429,s05117.dyndns.org,,,RUA DA AURORA,RUA MAMEDE SIMÕES,RUA DA AURORA X RUA MAMEDE SIMÕES,BOA VISTA,GIT-SM 6 FASES,SINALVIDA,10,,,-8.058434,-34.879286,"-8.058434,-34.879286",NÃO,,,,,2,,,,2,,,3,,1,,,2,,,,4.010.268.112,3.230.446.830,19/09/1995
430,430,s05200.dyndns.org,,,RUA COSME VIANA,RUA CEL. ALFREDO DUARTE,RUA COSME VIANA X RUA CEL. ALFREDO DUARTE,BONGI,GIT-SM 6 FASES,SINALVIDA,8,,,-8.071477,-34.909389,"-8.071477,-34.909389",NÃO,,,,,,,,,4,,,8,,,,,4,,,,4.012.940.063,83.195.681,27/09/1995
431,431,s05581.dyndns.org,,,RUA ALEGRE,RUA AGRA ZEFERINO AGRA,RUA ALEGRE X RUA AGRA ZEFERINO AGRA,ÁGUA FRIA,GIT-SM 6 FASES,SERTTEL,2,,,-8.021129,-34.893056,"-8.021129,-34.893056",NÃO,,,,,2,,1,,1,,,2,,,2,,2,,,,7.010.336.273,3.120.242.325,04/10/1995
432 / 595 / 498,432,s05659.dyndns.org	,,,RUA GUILHERME PINTO,E/F AO INSTITUTO DOS CEGOS,RUA GUILHERME PINTO X E/F AO INSTITUTO DOS CEGOS,GRAÇAS,COMPARTILHADO,SERTTEL,4,,,-8.052197,-34.902136,"-8.052197,-34.902136",NÃO,,,2,07:00/21:00h,0,,2,,1,,,3,,,2,,,,,,7.056.103.214,3.241.704.270,27/10/1995
433,433,s05498.dyndns.org,,,AV. VISCONDE DE JEQUITINHONHA,RUA CAPITÃO ZUZINHA,AV. VISCONDE DE JEQUITINHONHA X RUA CAPITÃO ZUZINHA,BOA VIAGEM,GIT-CSMP 10 FASES,SERTTEL,3,,,-8.133035,-34.902852,"-8.133035,-34.902852",SIM,"1191.A0.010000004808
",,,,,,1,3,,,,8,,,,,,,1,,4.011.843.927,,23/12/2000
434,434,s05163.dyndns.org,,,AV. DR. JOSÉ RUFINO,RUA DO SANCHO,AV. DR. JOSÉ RUFINO X RUA DO SANCHO,SANCHO,GIT-SM 6 FASES,SINALVIDA,7,,,-8.090909,-34.957331,"-8.090909,-34.957331",NÃO,,,,,2,,1,3,,,,7,,,2,,,,,,4.011.269.279,3.210.427.448,19/10/1995
435 / 696,435,s05075.dyndns.org	,,,RUA DA HARMONIA,ESTRADA DO ENCANAMENTO,RUA DA HARMONIA X ESTRADA DO ENCANAMENTO,CASA FORTE,COMPARTILHADO,SERTTEL,1,,,-8.031533,-34.915277,"-8.031533,-34.915277",NÃO,,,,,,,,,2,,,3,,,,2,1,,1,,4.008.918.029,3.181.387.636,19/10/1995
436,436,s04995.dyndns.org,,,CAIS DO APOLO,AV. MLITAR,CAIS DO APOLO X AV. MLITAR,BAIRRO DO RECIFE,GIT-SM 6 FASES,SINALVIDA,10,,,-8.053540,-34.871839,"-8.053540,-34.871839",NÃO,,,,,,,,,3,,,8,,,,,,,,,4.005.609.920,61.048.421,23/12/2000
437,437,s05286.dyndns.org,,,RUA 10 DE JULHO,RUA RIO AZUL,RUA 10 DE JULHO X RUA RIO AZUL,BOA VIAGEM,GIT-SM 6 FASES,SINALVIDA,6,,,-8.135802,-34.908452,"-8.135802,-34.908452",NÃO,,,,,,,,2,,,,6,,,,,,,,,4.005.966.758,61.154.221,23/12/2000
438,438,s05699.dyndns.org,,,AV. BOA VIAGEM,PRÓXIMO A RUA VERDES MARES,AV. BOA VIAGEM X PRÓXIMO A RUA VERDES MARES,BOA VIAGEM,GIT-SM 6 FASES,SINALVIDA,6,,,-8.135429,-34.901386,"-8.135429,-34.901386",NÃO,,,,,2,,2,1,0,,,2,,2,0,2,,,,,4.005.864.432,3.201.816.806,24/10/1995
439 / 161,439,s05295.dyndns.org	,,,AV. MAL. MASCARENHAS DE MORAIS,EM FRENTE AO Nº 2727,AV. MAL. MASCARENHAS DE MORAIS X EM FRENTE AO Nº 2727,IMBIRIBEIRA,COMPARTILHADO,SERTTEL,5,,,-8.106415,-34.911255,"-8.106415,-34.911255",NÃO,,,2,05:00/21:00h,,,,,2,,,4,,,2,,2,,,,,,16/12/2000
440,440,s05536.dyndns.org,,,AV. LIBERDADE,RUA JUVÊNCIO MARQUES DA CUNHA,AV. LIBERDADE X RUA JUVÊNCIO MARQUES DA CUNHA,TOTÓ,GIT-SM 6 FASES,SINALVIDA,7,,,-8.081032,-34.968542,"-8.081032,-34.968542",NÃO,,,,,4,,3,,1,,,6,1,,4,,4,,,,7.008.162.659,3.160.775.202,30/04/1998
441,441,s05146.dyndns.org,,,AV. ARMINDO MOURA,RUA COSMORAMA,AV. ARMINDO MOURA X RUA COSMORAMA,PORTA LARGA,GIT-SM 6 FASES,SINALVIDA,6,,,-8.148718,-34.914016,"-8.148718,-34.914016",NÃO,,,,,,,,,3,,,7,,,,,,,,,4.005.966.600,3.141.412.000,27/10/1995
442,442,s04973.dyndns.org,,,RUA SGT. SILVINO DE MACEDO,RUA ANTÔNIO TORRES GALVÃO,RUA SGT. SILVINO DE MACEDO X RUA ANTÔNIO TORRES GALVÃO,IMBIRIBEIRA,GIT-SM 6 FASES,SINALVIDA,6,,,-8.112050,-34.906685,"-8.112050,-34.906685",NÃO,,,,,,,,,2,,,5,,,,,,,,,4.005.966.910,61.154.256,16/12/2000
443,443,s05030.dyndns.org,,,AV. VISCONDE DE JEQUITINHONHA,RUA CHARLES DARWIN,AV. VISCONDE DE JEQUITINHONHA X RUA CHARLES DARWIN,BOA VIAGEM,GIT-CSMP 10 FASES,SERTTEL,3,,,-8.130714,-34.902615,"-8.130714,-34.902615",SIM,,,2,05:00/21:00h,,,1,,2,,,4,,,2,,,,,,7.001.996.449,3.010.071.261,16/11/1995
444,444,s05494.dyndns.org,,,AV. DOMINGOS FERREIRA,RUA CEL. SERGIO CARDIM,AV. DOMINGOS FERREIRA X RUA CEL. SERGIO CARDIM,BOA VIAGEM,GIT-CSMP 10 FASES,SERTTEL,3,,,-8.130575,-34.902075,"-8.130575,-34.902075",SIM,,,,,2,,2,,2,,,4,,2,,,,,,,7.001.996.139,3.224.301.692,03/11/1995
445,445,s04990.dyndns.org,,,AV. BOA VIAGEM,RUA ZAEL DIÓGENES,AV. BOA VIAGEM X RUA ZAEL DIÓGENES,BOA VIAGEM,GIT-SM 6 FASES,SINALVIDA,6,,,-8.139063,-34.902598,"-8.139063,-34.902598",NÃO,,,,,,,3,,,1,,4,,2,0,2,,1,,,4.005.864.157,3.203.491.343,30/10/1995
446,446,s05634.dyndns.org,89550532880018200808,,ESTRADA DO ARRAIAL,E/F AO N° 296,ESTRADA DO ARRAIAL X E/F AO N° 296,CASA AMARELA,GIT-SM 6 FASES,SERTTEL,1,ANTENA REMOVIDA (CHEIO DE ÁGUA),O CONTRODOR GIT-CSMP FOI TROCADO POR UM GIT-SM QUE FOI PARA SER IMPLANTADO NO 259,-8.029410,-34.908300,"-8.029410,-34.908300",SIM,,,,,2,,1,,1,,,3,,,2,,,,,,7.017.365.333,3.222.499.754,27/03/1996
447,447,s05534.dyndns.org,,,RUA URIEL DE HOLANDA,AV. HILDEBRANDO DE VASCONCELOS,RUA URIEL DE HOLANDA X AV. HILDEBRANDO DE VASCONCELOS,BEBERIBE,GIT-SM 6 FASES,SERTTEL,2,,,-8.004139,-34.899555,"-8.004139,-34.899555",NÃO,,,,,5,,4,2,1,,,4,,,6,,,,,,4.011.843.927,,16/03/1996
448,448,s05221.dyndns.org,,,RUA SOUZA BANDEIRA,RUA TOMAZ GONZAGA,RUA SOUZA BANDEIRA X RUA TOMAZ GONZAGA,CORDEIRO,GIT-SM 6 FASES,SINALVIDA,8,,,-8.048884,-34.917864,"-8.048884,-34.917864",NÃO,,,,,,,,,4,,,4,,,,,2,,,,7.010.554.017,3.121.265.167,21/11/1995
449,449,,,,RUA JEAN EMILE FAVRE,RUA ITACARI,RUA JEAN EMILE FAVRE X RUA ITACARI,IPSEP,GIT-SM 6 FASES,SINALVIDA,7,SEMÁFORO FOI REMOVIDO DEVIDO OBRAS E APÓS O RELIGAMENTO FICOU SEM ANTENA,O DYN s05397.dyndns.org QUE ERA DO 449 FOI TRANSFERIDO PARA O SEMÁFORO 117,-8.107902,-34.915933,"-8.107902,-34.915933",NÃO,,,,,,,,2,,,,6,,,,,,,,,7.001.683.092,91.154.650,16/12/2000
450 / 534,450,s05327.dyndns.org	,,,RUA PAMPULHA,RUA IZABEL DE SOUZA,RUA PAMPULHA X RUA IZABEL DE SOUZA,IMBIRIBEIRA,COMPARTILHADO,SERTTEL,5,,,-8.109840,-34.912939,"-8.109840,-34.912939",NÃO,,,,,,,,1,,,,4,,,,,2,,,,4.006.930.617,3.151.599.566,16/12/2000
451,451,s05485.dyndns.org,,,AV. NORTE MIGUEL ARRAES DE ALENCAR,RUA TIJUCAL,AV. NORTE MIGUEL ARRAES DE ALENCAR X RUA TIJUCAL,MACAXEIRA,GIT-SM 6 FASES,SINALVIDA,9,,,-8.013432,-34.931481,"-8.013432,-34.931481",NÃO,,,,,2,,2,,2,,,6,,2,,,2,,,,4.005.751.212,3.192.796.570,07/12/1995
452,452,,,,AV. RUI BARBOSA,EM FRENTE AO PARQUE DA JAQUEIRA,AV. RUI BARBOSA X EM FRENTE AO PARQUE DA JAQUEIRA,JAQUEIRA,GIT-SM 6 FASES,SERTTEL,1,O CONTRODOR GIT-CSMP FOI TROCADO POR UM GIT-SM QUE FOI PARA SER IMPLANTADO NO 051,RETIRADO O KIT COMUNICAÇÃO PARA SER IMPLANTADO NO 473 ZAEL DIOGENES,-8.037930,-34.905533,"-8.037930,-34.905533",NÃO,,,,,2,,1,,2,,,3,,,2,,,,,,4.005.799.690,3.181.133.170,05/12/2000
453 / 454,453,s05507.dyndns.org,,,CAIS DO APOLO,EM FRENTE AO TRIBUNAL REGIONAL FEDERAL,CAIS DO APOLO X EM FRENTE AO TRIBUNAL REGIONAL FEDERAL,RECIFE ANTIGO,COMPARTILHADO,SINALVIDA,10,,,-8.058771,-34.872580,"-8.058771,-34.872580",NÃO,,,2,,,,1,,1,,,2,,,2,,,,,,7.024.327.404,3.170.214.020,28/11/2000
454 / 453,454,s05507.dyndns.org,,,CAIS DO APOLO,EM FRENTE A PRAÇA TIRADENTES,CAIS DO APOLO X EM FRENTE A PRAÇA TIRADENTES,BAIRRO DO RECIFE,GIT-SM 6 FASES,SINALVIDA,10,,,-8.058860,-34.872457,"-8.058860,-34.872457",NÃO,,,2,,,,1,,1,,,2,,,2,,,,,,,,30/11/2000
455,455,s05313.dyndns.org,,,AV. CRUZ CABUGÁ,EM FRENTE AO MERCADO DE SANTO AMARO,AV. CRUZ CABUGÁ X EM FRENTE AO MERCADO DE SANTO AMARO,SANTO AMARO,GIT-CSMP 10 FASES,SERTTEL,2,,,-8.046964,-34.876507,"-8.046964,-34.876507",SIM,,,,,0,,2,,3,,,5,,2,,,3,,,,4.010.098.748,3.213.525.602,30/11/2000
456,456,s05512.dyndns.org,,,AV. NORTE MIGUEL ARRAES DE ALENCAR,RUA SALVADOR DE SÁ,AV. NORTE MIGUEL ARRAES DE ALENCAR X RUA SALVADOR DE SÁ,ROSARINHO,GIT-CSMP 10 FASES,SERTTEL,2,,,-8.031505,-34.898032,"-8.031505,-34.898032",SIM,,,,,2,,3,,4,,,7,,,2,,4,,2,,4.005.704.206,61.423.842,17/01/1996
457,457,s05296.dyndns.org,,,AV. CRUZ CABUGÁ,RUA ARARIPINA,AV. CRUZ CABUGÁ X RUA ARARIPINA,SANTO AMARO,GIT-SM 6 FASES,SERTTEL,5,,,-8.050455,-34.879040,"-8.050455,-34.879040",NÃO,,,,,3,,1,2,0,,,4,,4,,,1,,,,4.011.843.927,,14/11/2000
458,458,s05074.dyndns.org,,,ESTRADA DE BELÉM,RUA GONÇALVES DIAS,ESTRADA DE BELÉM X RUA GONÇALVES DIAS,CAMPO GRANDE,GIT-SM 6 FASES,SERTTEL,2,,,-8.032065,-34.877881,"-8.032065,-34.877881",NÃO,,,,,,,1,,2,,,6,,2,,,3,,,,7.000.605.640,3.204.132.533,20/12/1995
459,459,s05108.dyndns.org,,,AV. CONSELHEIRO ROSA E SILVA,RUA CONSELHEIRO PORTELA,AV. CONSELHEIRO ROSA E SILVA X RUA CONSELHEIRO PORTELA,ESPINHEIRO,GIT-CSMP 10 FASES,SERTTEL,1,,,-8.043634,-34.897365,"-8.043634,-34.897365",SIM,,,,,,,4,,2,,,3,,4,,,1,1,,,4.008.166.736,3.132.610.923,27/07/1998
460,460,s05404.dyndns.org,,,AV. PARNAMIRIM,RUA LEONARDO BEZERRA CAVALCANTE,AV. PARNAMIRIM X RUA LEONARDO BEZERRA CAVALCANTE,JAQUEIRA,GIT-CSMP 10 FASES,SERTTEL,1,,,-8.035814,-34.906837,"-8.035814,-34.906837",SIM,,,,,,,1,2,2,,,7,,,2,,,,,,4.005.795.759,3.180.340.229,28/12/1995
461,461,s05303.dyndns.org,,,AV. RECIFE,AO LADO DO SEMÁFORO Nº  621 (SUPERMERCADO ATACADÃO),AV. RECIFE X AO LADO DO SEMÁFORO Nº  621 (SUPERMERCADO ATACADÃO),VILA TAMANDARÉ,GIT-SM 6 FASES,SINALVIDA,7,,,-8.088813,-34.929836,"-8.088813,-34.929836",NÃO,,,,,2,,1,,1,,,3,,,2,,1,,,,4.008.181.182,3.011.010.559,06/11/2000
462,462,s05076.dyndns.org,,,ESTRADA DO ENCANAMENTO,RUA FERREIRA LOPES,ESTRADA DO ENCANAMENTO X RUA FERREIRA LOPES,PARNAMIRIM,GIT-CSMP 10 FASES,SERTTEL,1,ANTENA REMOVIDA (CHEIO DE ÁGUA),,-8.032263,-34.912967,"-8.032263,-34.912967",SIM,,,,,,,1,,3,,,5,,,,,,,1,,4.008.918.754,3.142.736.240,08/01/1996
463 / 587,463,s05624.dyndns.org	,,,AV. NORTE MIGUEL ARRAES DE ALENCAR,RUA VINTE E QUATRO DE AGOSTO,AV. NORTE MIGUEL ARRAES DE ALENCAR X RUA VINTE E QUATRO DE AGOSTO,SANTO AMARO,COMPARTILHADO,SERTTEL,5,,,-8.049120,-34.874913,"-8.049120,-34.874913",NÃO,,,,,,,,2,,,,6,,,,,2,,,,7.023.445.810,3.132.612.195,23/07/2016
464,464,s05330.dyndns.org,,,RUA CONSELHEIRO PORTELA,RUA BARÃO DE ITAMARACÁ,RUA CONSELHEIRO PORTELA X RUA BARÃO DE ITAMARACÁ,ESPINHEIRO,GIT-CSMP 10 FASES,SERTTEL,1,,,-8.042562,-34.894676,"-8.042562,-34.894676",NÃO,,,,,,,1,,2,,,4,,,,,2,,,,4.011.656.841,3.121.522.933,13/01/1996
465 / 108,465,s05663.dyndns.org	,,,AV. GOV. AGAMENON MAGALHÃES,E/F À REITORIA DA FESP/UPE,AV. GOV. AGAMENON MAGALHÃES X E/F À REITORIA DA FESP/UPE,SANTO AMARO,GIT-CSMP 10 FASES,SERTTEL,4,,,-8.043816,-34.887198,"-8.043816,-34.887198",SIM,,,2,06:00/21:00h,0,,1,,,,1,2,,2,,,,2,,,4.005.637.029,61.255.249,25/10/2000
466 / 031,466,s05237.dyndns.org	,,,RUA DO PRÍNCIPE,EM FRENTE AO HOSPITAL GERAL DO RECIFE,RUA DO PRÍNCIPE X EM FRENTE AO HOSPITAL GERAL DO RECIFE,BOA VISTA,COMPARTILHADO,SINALVIDA,10,,,-8.057845,-34.883644,"-8.057845,-34.883644",NÃO,,,,,,,1,,1,,,2,,,2,,1,,,,,,10/06/1999
467 / 012,467,s05262.dyndns.org	,,,RUA BARÃO DA VITÓRIA,EM FRENTE A ESTAÇÃO CENTRAL RFFSA,RUA BARÃO DA VITÓRIA X EM FRENTE A ESTAÇÃO CENTRAL RFFSA,SANTO ANTÔNIO,COMPARTILHADO,SINALVIDA,10,,,-8.066941,-34.883257,"-8.066941,-34.883257",NÃO,,,,,,,1,,1,,,3,,2,,,,,,,,,27/06/1977
468 / 470,468,s05681.dyndns.org	,,,AV. CRUZ CABUGÁ,ESTAÇÃO BRT TACARUNA SUB/CID,AV. CRUZ CABUGÁ X ESTAÇÃO BRT TACARUNA SUB/CID,SANTO AMARO,COMPARTILHADO,SERTTEL,2,,,-8.039662,-34.871386,"-8.039662,-34.871386",NÃO,,,,,2,,1,1,,0,,2,,2,,,,1,,,,,11/10/2000
469,469,s05665.dyndns.org,,,AV. 17 DE AGOSTO,RUA JADER DE ANDRADE,AV. 17 DE AGOSTO X RUA JADER DE ANDRADE,CASA FORTE,GIT-CSMP 10 FASES,SERTTEL,1,,,-8.033854,-34.922021,"-8.033854,-34.922021",SIM,,,,,,,1,0,2,,,6,,,,,,,,,4.012.687.767,3.011.129.062,02/02/1996
470 / 468,470,s05681.dyndns.org,,,AV. CRUZ CABUGÁ,ESTAÇÃO BRT TACARUNA CID/SUB,AV. CRUZ CABUGÁ X ESTAÇÃO BRT TACARUNA CID/SUB,SANTO AMARO,GIT-CSMP 10 FASES,SERTTEL,2,,,-8.039706,-34.871276,"-8.039706,-34.871276",SIM,,,,,2,,2,1,,0,,2,,2,,,,1,,,4.010.086.928,3.213.853.847,11/10/2000
471 / 116,471,s05553.dyndns.org	,,,AV. MAL. MASCARENHAS DE MORAIS,RUA JOÃO FONTES,AV. MAL. MASCARENHAS DE MORAIS X RUA JOÃO FONTES,IMBIRIBEIRA,GIT-CSMP 10 FASES,SERTTEL,5,,,-8.125187,-34.914922,"-8.125187,-34.914922",SIM,,,,,,,2,1,,,,5,,,,,2,,,,7.011.889.527,3.181.514.107,10/09/1998
472,472,s05040.dyndns.org,,,RUA DAS MOÇAS,RUA DA REGENERAÇÃO,RUA DAS MOÇAS X RUA DA REGENERAÇÃO,FUNDÃO,GIT-SM 6 FASES,SERTTEL,2,,,-8.021438,-34.886511,"-8.021438,-34.886511",NÃO,,,,,,,1,,3,,,8,,,,,4,,,,7.010.336.672,3.120.701.621,10/06/1998
473,473,s05350.dyndns.org,,,AV. JEQUITINHINHA ,RUA ZAEL DIÓGENES,AV. JEQUITINHINHA  X RUA ZAEL DIÓGENES,BOA VIAGEM,GIT-SM 6 FASES,SERTTEL,3,SEMÁFORO FOI RELICADO DA PONTE GIRATÓRIA PARA O END. ATUAL,DYN ANTIGO: s04971.dyndns.org,-8.138527,-34.903946,"-8.138527,-34.903946",NÃO,,,,,,,1,1,0,,,,,,,,,,,,7.002.125.760,3.010.074.948,14/11/2000
474 / 479,474,s05680.dyndns.org	,,,AV. CRUZ CABUGÁ,EM FRENTE AO HOSPITAL DO CÂNCER,AV. CRUZ CABUGÁ X EM FRENTE AO HOSPITAL DO CÂNCER,SANTO AMARO,COMPARTILHADO,SERTTEL,2,,,-8.042124,-34.873114,"-8.042124,-34.873114",NÃO,,,,,2,,1,,1,,,2,,2,,,1,,,,4.010.086.979,3.213.967.672,14/11/2000
475,475,,,,AV. DOIS RIOS,RUA RIO CHUÍ,AV. DOIS RIOS X RUA RIO CHUÍ,IBURA,GIT-SM 6 FASES,SINALVIDA,7,s05402.dyndns.org,,-8.115407,-34.940297,"-8.115407,-34.940297",NÃO,,,2,05:00/22:00h,,,,,2,,,3,,1,0,,,,,0,4.010.976.095,3.210.022.405,06/02/1996
476,476,s05266.dyndns.org,,,RUA BARÃO DE SOUZA LEÃO,RUA DESEMBARGADOR JOSÉ NEVES,RUA BARÃO DE SOUZA LEÃO X RUA DESEMBARGADOR JOSÉ NEVES,BOA VIAGEM,GIT-SM 6 FASES,SINALVIDA,6,,,-8.132819,-34.911010,"-8.132819,-34.911010",NÃO,1191.A0.010000004805,,,,,,,1,3,,,10,,,,,,,,,4.005.957.511,61.156.666,26/10/1996
477,477,s04973.dyndns.org,,,RUA MADRE DE DEUS,AV. ALFREDO LISBOA,RUA MADRE DE DEUS X AV. ALFREDO LISBOA,RECIFE ANTIGO,GIT-SM 6 FASES,SINALVIDA,10,SEMÁFORO DESLIGADO DEVIDO OBRAS,,-8.066185,-34.873324,"-8.066185,-34.873324",NÃO,,,,,,,,1,,,,4,,,,,,,,,4.011.843.927,,03/07/1999
478,478,s05302.dyndns.org,,,RUA COSMORAMA,RUA JOÃO CARDOSO AIRES,RUA COSMORAMA X RUA JOÃO CARDOSO AIRES,SETÚBAL,GIT-SM 6 FASES,SINALVIDA,6,,,-8.141132,-34.911158,"-8.141132,-34.911158",NÃO,,,,,,,,1,3,,,8,,,,,,,,,4.005.966.693,3.182.977.771,26/10/1996
479 / 474,479,s05680.dyndns.org,,,AV. CRUZ CABUGÁ,RUA PADRE FELIX BARRETO,AV. CRUZ CABUGÁ X RUA PADRE FELIX BARRETO,SANTO AMARO,GIT-CSMP 10 FASES,SERTTEL,2,,,-8.042155,-34.873047,"-8.042155,-34.873047",SIM,,,,,2,,2,,1,,,2,,2,,,1,,,,4.010.097.300,3.213.967.680,14/11/2000
480,480,s05393.dyndns.org,,,AV. BEBERIBE,EM FRENTE Nº 621,AV. BEBERIBE X EM FRENTE Nº 621,ENCRUZILHADA,GIT-SM 6 FASES,SERTTEL,2,,,-8.031852,-34.892141,"-8.031852,-34.892141",NÃO,,,2,05:00/20:00h,,,,,2,,,4,,2,,,2,,,,4.011.843.927,,08/06/2001
481 / 367 / 355,481,radium-tecnologia.fortiddns.com:20481,,,RUA SPORT CLUBE DO RECIFE,RUA PROF° BENEDITO MONTEIRO,RUA SPORT CLUBE DO RECIFE X RUA PROF° BENEDITO MONTEIRO,ILHA DO RETIRO,GIT-CSMP 16 FASES,SERTTEL,4,,ABDIAS 2,-8.061132,-34.904010,"-8.061132,-34.904010",SIM,,2,,,2,,2,,2,,,7,,2,,,1,,,,,,05/02/2004
482,482,s05537.dyndns.org,,,AV. DO FORTE,EM FRENTE A PRAÇA DO FORTE,AV. DO FORTE X EM FRENTE A PRAÇA DO FORTE,CORDEIRO,GIT-SM 6 FASES,SINALVIDA,9,,,-8.058328,-34.931250,"-8.058328,-34.931250",NÃO,,,,,2,,,,2,,,4,,,2,,2,,,,4.011.843.927,,05/02/2004
483,483,s04994.dyndns.org,,,AV. BOA VIAGEM,RUA VICENTE GOMES,AV. BOA VIAGEM X RUA VICENTE GOMES,BOA VIAGEM,GIT-SM 6 FASES,SINALVIDA,6,,,-8.133277,-34.900494,"-8.133277,-34.900494",NÃO,,,,,,,3,,,1,,4,,,2,2,,1,,,4.005.864.556,3.231.942.954,24/01/2004
484,484,s05272.dyndns.org,,,AV. DOMINGOS FERREIRA,RUA HENRIQUE CAPITULINO,AV. DOMINGOS FERREIRA X RUA HENRIQUE CAPITULINO,BOA VIAGEM,GIT-CSMP 10 FASES,SERTTEL,3,,,-8.109199,-34.891495,"-8.109199,-34.891495",SIM,1191A0010000004729,,,,,1,2,2,1,,,1,,,4,,,2,,,7.001.898.528,3.010.003.357,10/04/1999
485,485,s05569.dyndns.org,89550534890028471032,,RUA LEONARDO BEZERRA CAVALCANTE,RUA IGARASSU,RUA LEONARDO BEZERRA CAVALCANTE X RUA IGARASSU,CASA FORTE,GIT-SM 6 FASES,SERTTEL,1,,,-8.037736,-34.911764,"-8.037736,-34.911764",SIM,,,,,,,,,2,,,5,,,,,3,,,,4.011.843.927,,10/04/1999
486,486,s05614.dyndns.org,,,AV. CONDE DA BOA VISTA,RUA SETE DE SETEMBRO,AV. CONDE DA BOA VISTA X RUA SETE DE SETEMBRO,BOA VISTA,GIT-CSMP 10 FASES,SERTTEL,5,,,-8.061073,-34.883421,"-8.061073,-34.883421",NÃO,1191.A0.010000004789,,2,07:00/19:30h,,,2,2,,,,2,,,2,,,2,,,7.002.606.881,3.010.185.637,28/11/1996
487,487,,,,RUA JOSÉ BONIFÁCIO,RUA MARCOS ANDRÉ,RUA JOSÉ BONIFÁCIO X RUA MARCOS ANDRÉ,TORRE,DIGICON - CD200,SINALVIDA,8,,,-8.041003,-34.908696,"-8.041003,-34.908696",NÃO,,,,,,1,,2,,,,6,,,,,3,,,,4.008.919.432,71.200.191,15/04/1997
488,488,s05532.dyndns.org,,,PÇA. DA REPÚBLICA,E/F AO PALÁCIO DAS PRINCESAS,PÇA. DA REPÚBLICA X E/F AO PALÁCIO DAS PRINCESAS,SANTO ANTÔNIO,GIT-SM 6 FASES,SINALVIDA,10,,,-8.060398,-34.877658,"-8.060398,-34.877658",NÃO,,,2,24h,,,1,,1,,,3,,,2,,,,,,4.005.610.260,3.121.553.685,15/04/1997
489,489,s05282.dyndns.org,,,AV. CAXANGÁ,RUA JOSÉ OSÓRIO,AV. CAXANGÁ X RUA JOSÉ OSÓRIO,ZUMBI,GIT-SM 6 FASES,SINALVIDA,9,,,-8.054367,-34.913983,"-8.054367,-34.913983",NÃO,,,,,2,1,1,,1,,,2,,,2,,3,,,,4.007.397.203,3.130.270.904,05/09/2000
